Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
change in Noise PE,0.0317586,-0.122873,-0.0201538,-0.442398,-0.455409,0.403763,-0.14326,-0.268483,0.0970036,-0.0961897,-0.0482089,-0.0709575,-0.202525,0.234767,-0.411847,0.506074,-0.4419,-0.100569,0.462267,-0.430124,-0.494764,-0.366378,0.251564,-0.0976843,0.00995368,0.15939,-0.35303,-0.0661897,0.400011,-0.460082,0.307855,-0.478333,0.232285,-0.486719,0.0893842,0.105456,0.397067,-0.511918,-0.461715,-0.439735,0.2376,-0.464408,-0.00522674,-0.44493,-0.090592,-0.171064,-0.402045,-0.273116,-0.315903,0.418372,-0.0793425,-0.378347,-0.0219436,0.15584,-0.453894,-0.423587,0.269679,0.00707134,-0.0834249,0.367668,-0.218755,-0.152224,-0.347602,0.00146429,-0.171652,0.417987,0.0188253,-0.327261,-0.128784,-0.0680515,0.105564,-0.159265,-0.0537256,-0.345221,0.457204,0.381829,-0.00151234,-0.273214,-0.406446,0.31142,-0.0958883,-0.0332894,-0.403044,0.159126,0.0851127,0.494399,0.321758,0.100349,-0.23024,-0.263466,-0.333044,-0.0724952,0.323,-0.172446,0.462779,-0.0863093,0.461657,-0.411814,0.159495,-0.44175,0.472879
change in Noise PI,-0.149053,-0.230375,-0.123157,-0.190322,-0.0115344,-0.0780953,0.346924,-0.149805,0.487663,-0.0438294,-0.0460505,0.12379,0.0444772,0.279291,-0.524763,-0.0999157,-0.116878,0.387257,0.182423,-0.213959,0.166185,0.324378,-0.354038,0.178185,-0.449573,-0.450678,-0.22097,-0.323059,0.0319005,0.131484,-0.188479,0.319541,-0.100155,0.213126,-0.120794,0.104032,-0.477594,0.335617,0.456715,-0.419837,0.041373,-0.133684,0.231105,-0.316926,-0.405527,0.301503,-0.164454,-0.454187,0.452709,-0.166598,0.246103,-0.222032,0.0911681,0.0991269,-0.306366,0.143471,0.0371404,-0.023234,-0.0705324,0.0865521,-0.216771,0.302542,-0.469875,-0.401602,0.231993,0.44666,-0.404209,-0.105286,-0.330252,0.180492,-0.125271,-0.0846714,0.536421,-0.359798,0.0376494,-0.204142,-0.11814,0.373584,0.234808,-0.448117,-0.430779,-0.0917711,-0.26966,0.145321,0.0606342,-0.160794,0.140892,0.0396281,0.32065,-0.183347,-0.419113,0.377275,-0.0512533,0.392847,-0.378208,-0.0336165,0.0753193,-0.467829,-0.307231,0.354251,-0.357578
change in Noise PR,0.100202,-0.341394,-0.0217825,-0.132181,0.105605,0.237307,-0.0377582,0.0496042,-0.404277,-0.0476961,-0.166034,-0.0305344,0.0439681,-0.311677,0.263649,0.193565,0.310813,0.26134,-0.290503,-0.172865,0.176383,-0.059001,-0.205131,0.122792,-0.339932,-0.378095,0.28187,0.129412,-0.0591843,-0.486129,0.241541,-0.183492,0.216098,0.20021,-0.08776,0.0766635,-0.401938,-0.23328,0.220234,-0.0266969,0.036362,-0.163573,-0.0877889,-0.476278,-0.457433,0.194512,0.275251,0.263809,-0.114447,-0.00412277,0.0460737,0.235947,-0.00317532,-0.253721,0.196863,0.0919452,-0.39963,0.456638,0.133602,-0.447185,0.0487659,-0.369663,-0.169135,-0.234909,-0.433686,-0.0788851,0.312733,0.406994,0.18911,-0.232007,-0.539224,0.313511,-0.235867,0.420902,-0.126947,-0.146411,-0.297727,0.223551,-0.311756,-0.3643,-0.00852453,0.463257,-0.518573,-0.024948,0.433862,0.0279624,0.318108,0.160933,0.0426826,-0.352525,-0.248794,-0.298923,0.0289624,0.0533989,-0.103512,0.211977,0.105947,-0.326833,0.220687,0.266968,0.195036
Contact Rate,5
Expected ER,0.99998,1.43745,2.43735,3.81216,5.06186,7.06127,8.37319,11.2468,14.8067,20.1143,26.9804,36.2145,48.4991,66.6312,92.8917,128.304,169.957,212.102,287.536,416.518,614.848,906.533,1351.1,2105.99,3336.93,5061.92,7284.99,9319.97,10148,9165.25,6801.95,4426.17,2798.52,1738.47,1042.74,630.671,386.711,257.396,184.988,134.1,101.326,79.1487,62.8654,50.3707,41.1839,34.6595,29.0477,24.47,20.6615,17.4708,14.8249,12.5585,10.8345,9.34288,8.11161,6.96339,5.9457,5.08605,4.44034,3.94155,3.46625,3.0937,2.77824,2.49819,2.27204,2.03781,1.83735,1.6781,1.53555,1.41426,1.30291,1.20146,1.11344,1.02288,0.938655,0.860353,0.796063,0.74705,0.695256,0.644322,0.599717,0.56268,0.527035,0.49003,0.453421,0.411785,0.368776,0.328968,0.288648,0.254034,0.223832,0.19788,0.172665,0.152339,0.134744,0.117084,0.10125,0.0896984,0.0816966,0.0740312,0.0678513
Expected IR,0.2,0.2875,0.4875,0.7625,1.0125,1.4125,1.675,2.25,2.9625,4.025,5.4,7.25,9.7125,13.35,18.625,25.75,34.15,42.675,57.975,84.275,125.075,185.9,280.487,446.513,734.662,1184.96,1894.32,2871.64,4017.15,5208.71,6046.75,6384.2,6352.33,6157.42,5861.2,5492.75,5065.8,4708.83,4364.85,4024.77,3720.96,3418.95,3154.11,2883.48,2632.61,2392.38,2149.69,1924.88,1729.9,1552.1,1405.2,1267.74,1160.32,1060.94,964.95,876.588,788.162,707.625,636.037,573.838,519.775,476.413,437.087,400.913,368.688,338.225,309.775,284.725,263.05,243.575,225.125,208.95,194.275,179.65,165.95,152.613,141.837,133.85,125.412,116.488,109.662,103.363,97.0375,91.0625,84.95,77.5125,69.6625,62.4375,54.85,48.3875,42.7875,37.9625,33.325,29.4375,26.0375,22.625,19.6125,17.375,15.825,14.375,13.175
Expected RR,0,0.0375,0.1125,0.125,0.2375,0.275,0.4375,0.5125,0.85,1.1125,1.525,1.9875,2.525,3.3125,4.8875,6.8,9.5125,13.275,17.4125,23.675,32.8375,46.5375,64.575,90.4,139.587,211.488,325.237,500.362,715.362,962.225,1272.59,1628.15,1967.19,2248.73,2490.75,2696.59,2888.39,2975.3,3042.76,3085.39,3064.7,3027.04,2942.15,2891.21,2851.52,2844.04,2830.77,2804.57,2736.48,2625.18,2492.89,2366.46,2191.13,2024.64,1877.97,1730,1611.65,1496.59,1369.47,1247.97,1133.04,1028.32,938.888,854.8,778.162,718.862,665.3,613.65,561.475,513.625,473.7,434.825,403.025,378.1,351.063,325.85,298.038,270.8,250.087,231.8,214.563,198.375,181.475,165.55,153.413,144.363,136.25,129.887,122.575,115.575,108.6,101.088,94.225,87.8,81.4125,76.575,71.425,64.875,59.35,52.825,46.65
Exposed,2,2.875,4.875,7.625,10.125,14.125,16.75,22.5,29.625,40.25,54,72.5,97.125,133.5,186.25,257.5,341.5,426.75,579.75,842.75,1250.75,1859,2804.88,4465.13,7346.63,11849.6,18943.3,28716.4,40171.5,52087.1,60467.5,63842,63523.3,61574.3,58612,54927.5,50658,47088.3,43648.5,40247.8,37209.6,34189.5,31541.1,28834.8,26326.1,23923.8,21496.9,19248.8,17299,15521,14052,12677.4,11603.3,10609.4,9649.5,8765.88,7881.63,7076.25,6360.38,5738.38,5197.75,4764.13,4370.88,4009.13,3686.88,3382.25,3097.75,2847.25,2630.5,2435.75,2251.25,2089.5,1942.75,1796.5,1659.5,1526.13,1418.38,1338.5,1254.13,1164.88,1096.63,1033.63,970.375,910.625,849.5,775.125,696.625,624.375,548.5,483.875,427.875,379.625,333.25,294.375,260.375,226.25,196.125,173.75,158.25,143.75,131.75
Exposure Rate,1,3,2,2,8,3,9,8,18,18,20,31,38,52,97,113,122,153,300,474,680,980,1503,2917,4481,6868,10547,13621,15445,14240,10562,6454,3639,2470,1579,939,497,301,212,130,107,74,40,45,23,20,18,23,10,10,12,7,20,12,12,10,6,3,2,6,1,1,1,0,2,3,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Exposure Rate Data,1,3.14971,2.35887,2.44045,9.31043,3.76965,11.665,8.85196,20.704,21.207,24.1947,36.1409,45.134,66.2297,108.798,113.855,116.775,157.56,333.266,494.245,768.463,1167.63,1590.16,3067.22,3834.86,4879.62,9320.18,13521.4,17246.1,14396.7,10492.2,6483.74,3744.21,2558.75,1811.63,1234.84,630.645,310.965,225.894,143.575,131.599,84.8293,45.6361,47.9122,20.743,17.3648,15.0303,20.3383,8.77306,6.9667,7.93105,4.83068,13.4607,9.68629,9.94339,9.75345,5.91335,2.74201,1.78721,5.64869,1.04815,0.854934,0.801809,0,1.88804,2.65784,0.876415,0,0.879146,0.989326,1.00478,0,0,0,0,0.782523,0,0,0,0.865914,0,0,0.852041,1.75121,0.967784,0,0.768373,0,0,0,0,0.811722,0,0,0,0,0,0,0,0,0
FINAL TIME,100
Incubation Period,10
Infected,0,0.375,1.125,1.25,2.375,2.75,4.375,5.125,8.5,11.125,15.25,19.875,25.25,33.125,48.875,68,95.125,132.75,174.125,236.75,328.375,465.375,645.75,904,1395.88,2114.88,3252.38,5003.63,7153.63,9622.25,12725.9,16281.5,19671.9,22487.3,24907.5,26965.9,28883.9,29753,30427.6,30853.9,30647,30270.4,29421.5,28912.1,28515.3,28440.4,28307.8,28045.8,27364.8,26251.8,24928.9,23664.6,21911.3,20246.4,18779.8,17300,16116.5,14965.9,13694.8,12479.8,11330.4,10283.3,9388.88,8548,7781.63,7188.63,6653,6136.5,5614.75,5136.25,4737,4348.25,4030.25,3781,3510.63,3258.5,2980.38,2708,2500.88,2318,2145.63,1983.75,1814.75,1655.5,1534.13,1443.63,1362.5,1298.88,1225.75,1155.75,1086,1010.88,942.25,878,814.125,765.75,714.25,648.75,593.5,528.25,466.5
Infection Period,10
Infection Rate,1,0,1,1,0,1,1,3,5,4,6,10,13,22,23,37,45,49,74,117,146,207,299,469,720,1181,1804,2964,3259,3789,5435,4727,5393,5119,4644,5213,4541,3882,3513,3374,3115,2786,2697,2622,2406,2426,2504,2108,1940,1557,1323,1154,1064,1050,937,841,819,776,677,549,487,391,408,353,330,316,302,229,206,205,196,158,125,145,132,124,80,83,64,79,66,70,80,68,77,84,71,81,63,50,49,33,27,44,45,37,22,18,16,19,19
Infection Rate Data,1,0,1.12933,1.11585,0,1.2091,1.18914,3.17151,5.21955,4.39071,7.34836,12.9101,15.6817,27.5775,24.5721,38.1308,43.7229,49.7594,70.2296,112.023,151.617,216.037,321.177,511.829,779.21,1378.85,2116.49,3461.98,3790.26,5306.7,7228,5517.49,6815.26,6851.05,5565.36,6102.92,5522.99,4804.22,4190.31,3768.15,3410.21,3329.97,3288.37,2968.16,2504.61,2770.58,2912.62,2451.31,2318.45,1885.96,1507.08,1287.18,1100.76,1011.59,838.105,776.366,840.755,688.559,702.861,523.845,411.639,330.826,367.088,326.508,334.218,286.624,293.865,240.669,189.009,214.03,198.598,158.023,113.657,128.985,120.597,117.058,70.1152,71.0476,58.2468,68.3147,53.3723,59.4694,64.0535,58.4102,70.5932,66.65,63.1487,72.847,54.9382,47.0097,43.0011,32.21,23.7091,39.3107,39.5631,34.9877,23.2998,17.7337,16.253,19.4897,18.5576
Infectivity,0.1
Initial Exposed,2
Initial susceptible,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998
INITIAL TIME,0
Noise Amp ED,0.9
Noise Amp ER,0.9
Noise Amp ID,0.9
Noise Amp IR,0.9
Noise Amp RD,0.9
Noise Amp RR,0.9
Noise correlation time,8
Noise correlation time ME,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise correlation time MI,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise correlation time MR,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise correlation time PE,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise correlation time PI,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise correlation time PR,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Noise ME,0,0.0554485,0.199373,0.244695,0.182004,0.285057,0.329006,0.118328,0.166914,0.197965,0.233037,0.184261,0.208597,0.304054,0.135144,0.00840569,-0.0475877,0.0331125,0.123207,0.0474562,0.144547,0.212728,0.0644357,0.057219,-0.160218,-0.321682,-0.129243,-0.0081255,0.129568,0.0122257,-0.00734413,0.00511928,0.0321239,0.0399234,0.163697,0.350069,0.298782,0.0367855,0.0728212,0.116025,0.255441,0.162603,0.156559,0.071907,-0.109035,-0.1464,-0.183318,-0.128583,-0.136326,-0.337033,-0.376755,-0.344337,-0.363296,-0.214232,-0.190427,-0.0273949,-0.0160462,-0.0955505,-0.118215,-0.065057,0.0535036,-0.161185,-0.220212,-0.112731,-0.0622023,-0.126728,-0.137317,-0.00994573,-0.134283,-0.0118595,0.00531114,-0.0206562,-0.00800177,-0.0449891,-0.226921,-0.241641,-0.133494,-0.135194,-0.133584,-0.148984,0.0775045,-0.122859,-0.164399,-0.138218,-0.0357959,-0.143818,-0.257363,-0.310628,-0.331716,-0.254927,-0.362238,-0.209198,-0.205326,-0.0179541,0.0294736,0.00211453,0.0815663,0.0946755,0.053696,0.0976017,0.00795311
